date,price
2020-11-16,128.85000000000002
2020-11-17,126.6
2020-11-18,130.45000000000002
2020-11-19,131.65
2020-11-20,125
2020-11-23,125.7
2020-11-24,124
2020-11-25,125.8
2020-11-26,125.8
2020-11-27,135.3
2020-11-30,134
2020-12-01,131.2
2020-12-02,132.05
2020-12-03,133.3
2020-12-04,130
2020-12-07,132.05
2020-12-08,132.25
2020-12-09,130.2
2020-12-10,134.6
2020-12-11,135.35000000000002
2020-12-14,140
2020-12-15,138.45000000000002
2020-12-16,140.7
2020-12-17,140.7
2020-12-18,139.4
2020-12-21,138.15
2020-12-22,138
2020-12-23,139.6
2020-12-28,138
2020-12-29,140.6
2020-12-30,140.25
2021-01-04,141.85000000000002
2021-01-05,140.95000000000002
2021-01-06,138.3
2021-01-07,137.25
2021-01-08,139.65
2021-01-11,137.6
2021-01-12,137.55
2021-01-13,141.85000000000002
2021-01-14,144.65
2021-01-15,144.75
2021-01-18,144.75
2021-01-19,144.6
2021-01-20,143.25
2021-01-21,144.9
2021-01-22,142.3
2021-01-26,142.9
2021-01-27,143.9
2021-01-28,141.9
2021-01-29,142.5
2021-02-01,143.05
2021-02-02,142.2
2021-02-03,142.95000000000002
2021-02-04,142
2021-02-05,142.6
2021-02-08,142.05
2021-02-09,140.55
2021-02-10,139.7
2021-02-11,137.95000000000002
2021-02-12,137.9
2021-02-17,143.5
2021-02-18,144.95000000000002
2021-02-19,144.8
2021-02-22,150.25
2021-02-23,153.6
2021-02-24,152
2021-02-25,156.7
2021-02-26,153.6
2021-03-01,153.6
2021-03-02,151
2021-03-03,149.95000000000002
2021-03-04,149.1
2021-03-05,144.75
2021-03-08,145.15
2021-03-09,146.8
2021-03-10,147.4
2021-03-11,149.4
2021-03-12,150.25
2021-03-15,149.05
2021-03-16,152.2
2021-03-17,150.95000000000002
2021-03-18,146.2
2021-03-19,149
2021-03-22,150.45000000000002
2021-03-23,147.5
2021-03-24,146.05
2021-03-25,146.2
2021-03-26,148.7
2021-03-29,146.8
2021-03-30,140.9
2021-03-31,142.85000000000002
2021-04-01,140.35000000000002
2021-04-05,141
2021-04-06,147.3
2021-04-07,145.75
2021-04-08,148.4
2021-04-09,147.6
2021-04-12,148.5
2021-04-13,150.5
2021-04-14,153.2
2021-04-15,154
2021-04-16,149.3
2021-04-19,150.25
2021-04-20,153.7
2021-04-22,155
2021-04-23,158.35000000000002
2021-04-26,164.85000000000002
2021-04-27,166.2
2021-04-28,166.15
2021-04-29,162.3
2021-04-30,160.4
2021-05-03,163
2021-05-04,163.15
2021-05-05,175.7
2021-05-06,181.6
2021-05-07,179.75
2021-05-10,173.35000000000002
2021-05-11,176.05
2021-05-12,171.3
2021-05-13,171.15
2021-05-14,169.3
2021-05-17,170.3
2021-05-18,179.65
2021-05-19,177.2
2021-05-20,177.2
2021-05-21,176.1
2021-05-24,174.65
2021-05-25,176.65
2021-05-26,183.55
2021-05-27,183.1
2021-05-28,192.35000000000002
2021-05-31,192.35000000000002
2021-06-01,190.65
2021-06-02,190.8
2021-06-04,191.45000000000002
2021-06-07,189.45000000000002
2021-06-08,186.2
2021-06-09,185.55
2021-06-10,187.55
2021-06-11,185.9
2021-06-14,181.45000000000002
2021-06-15,177.6
2021-06-16,180.45000000000002
2021-06-17,175.4
2021-06-18,175.85000000000002
2021-06-21,179.1
2021-06-22,177.65
2021-06-23,180.15
2021-06-24,179.15
2021-06-25,185.55
2021-06-28,192.15
2021-06-29,188.8
2021-06-30,188.35000000000002
2021-07-01,185.8
2021-07-02,185.5
2021-07-05,185.5
2021-07-06,178.65
2021-07-07,179.3
2021-07-08,182.35000000000002
2021-07-12,184.5
2021-07-13,182.2
2021-07-14,186.85000000000002
2021-07-15,188
2021-07-16,192.3
2021-07-19,188.75
2021-07-20,197
2021-07-21,207.75
2021-07-22,226.45000000000002
2021-07-23,221.6
2021-07-26,241.5
2021-07-27,248
2021-07-28,246.9
2021-07-29,237.9
2021-07-30,217.9
2021-08-02,208.5
2021-08-03,210.75
2021-08-04,211.8
2021-08-05,210.85000000000002
2021-08-06,209.65
2021-08-09,214
2021-08-10,217
2021-08-11,219.55
2021-08-12,223.1
2021-08-13,218.05
2021-08-16,218.65
2021-08-17,213.05
2021-08-18,213.15
2021-08-19,211.15
2021-08-20,211.2
2021-08-23,212
2021-08-24,216.45000000000002
2021-08-25,217.45000000000002
2021-08-26,219.55
2021-08-27,224.65
2021-08-30,233.8
2021-08-31,228.55
2021-09-01,236.65
2021-09-02,234.95000000000002
2021-09-03,233.7
2021-09-06,233.7
2021-09-08,230
2021-09-09,226.5
2021-09-10,225.5
2021-09-13,224.75
2021-09-14,223.55
2021-09-15,225.25
2021-09-16,225.4
2021-09-17,223.45000000000002
2021-09-20,219.75
2021-09-21,220.75
2021-09-22,222.75
2021-09-23,228.55
2021-09-24,233.3
2021-09-27,232.35000000000002
2021-09-28,237.3
2021-09-29,232.45000000000002
2021-09-30,232
2021-10-01,242.6
2021-10-04,242
2021-10-05,230.75
2021-10-06,231.5
2021-10-07,237.4
2021-10-08,241
2021-10-11,245
2021-10-13,249.5
2021-10-14,250.3
2021-10-15,245.25
2021-10-18,242.1
2021-10-19,246.1
2021-10-20,247.3
2021-10-21,244.3
2021-10-22,238.8
2021-10-25,241.2
2021-10-26,248.55
2021-10-27,239.2
2021-10-28,237.35000000000002
2021-10-29,242.65
2021-11-01,247.5
2021-11-03,248.6
2021-11-04,247.65
2021-11-05,242.9
2021-11-08,237.75
2021-11-09,242.5
2021-11-10,240.85000000000002
2021-11-11,245
2021-11-12,247.3
2021-11-16,250.95000000000002
2021-11-17,266.6
2021-11-18,264.25
2021-11-19,270
2021-11-22,267.4
2021-11-23,282.2
2021-11-24,284
2021-11-25,284
2021-11-26,280.75
2021-11-29,267.5
2021-11-30,266.7
2021-12-01,274.5
2021-12-02,278.8
2021-12-03,287.4
2021-12-06,292.4
2021-12-07,286.3
2021-12-08,287.35
2021-12-09,284
2021-12-10,275.6
2021-12-13,281
2021-12-14,279.55
2021-12-15,281.75
2021-12-16,281.75
2021-12-17,280.2
2021-12-20,269
2021-12-21,274.5
2021-12-22,279.95
2021-12-23,276.85
2021-12-27,271.35
2021-12-28,269.7
2021-12-29,274.5
2021-12-30,274
2022-01-03,267.55
2022-01-04,278.5
2022-01-05,278.9
2022-01-06,278
2022-01-07,288.95
2022-01-10,284.25
2022-01-11,287.25
2022-01-12,292.9
2022-01-13,288.1
2022-01-14,290.5
2022-01-17,290.5
2022-01-18,290.55
2022-01-19,296.05
2022-01-20,295.25
2022-01-21,292.55
2022-01-24,288.15000000000003
2022-01-25,293
2022-01-26,292.75
2022-01-27,286.9
2022-01-28,289
2022-01-31,288.25
2022-02-01,290.5
2022-02-02,291.85
2022-02-03,293.7
2022-02-04,291.95
2022-02-07,292.9
2022-02-08,298.35
2022-02-09,306.15000000000003
2022-02-10,304.35
2022-02-11,303.45
2022-02-14,301.15000000000003
2022-02-15,302.95
2022-02-16,305.7
2022-02-17,302.4
2022-02-18,300.9
2022-02-21,299.85
2022-02-22,301.75
2022-02-23,301.95
2022-02-24,290
2022-02-25,290.25
2022-03-02,283
2022-03-03,274.95
2022-03-04,276.75
2022-03-07,276.75
2022-03-08,282.95
2022-03-09,278.2
2022-03-10,271.45
2022-03-11,276.25
2022-03-14,272.1
2022-03-15,262
2022-03-16,270.4
2022-03-17,268.55
2022-03-18,269
2022-03-21,275.1
2022-03-22,278.5
2022-03-23,278.5
2022-03-24,275.15000000000003
2022-03-25,275.15000000000003
2022-03-28,267.5
2022-03-29,267.5
2022-03-30,275.65000000000003
2022-03-31,281.65000000000003
2022-04-01,283
2022-04-04,286.15000000000003
2022-04-05,287.1
2022-04-06,282.2
2022-04-07,280.3
2022-04-08,285.25
2022-04-11,291.8
2022-04-12,287.85
2022-04-13,280.65000000000003
2022-04-14,278.75
2022-04-18,278.6
2022-04-19,275.7
2022-04-20,272.4
2022-04-22,283.65000000000003
2022-04-25,271.9
2022-04-26,272.7
2022-04-27,262
2022-04-28,264.6
2022-04-29,270.75
2022-05-02,267.7
2022-05-03,270.4
2022-05-04,274.15000000000003
2022-05-05,269.45
2022-05-06,260.45
2022-05-09,254.7
2022-05-10,251.65
2022-05-11,272.95
2022-05-12,266.85
2022-05-13,265
2022-05-16,279.4
2022-05-17,282.55
2022-05-18,269.85
2022-05-19,271.3
2022-05-20,267.55
2022-05-23,267.4
2022-05-24,264.6
2022-05-25,269.1
2022-05-26,281.75
2022-05-27,285.5
2022-05-30,285.5
2022-05-31,287.9
2022-06-01,298.75
2022-06-02,297.15000000000003
2022-06-03,289.4
2022-06-06,296.2
2022-06-07,289.05
2022-06-08,288.65000000000003
2022-06-09,292.35
2022-06-10,284.75
2022-06-13,277.4
2022-06-14,282.15000000000003
2022-06-15,284.2
2022-06-17,283.1
2022-06-20,283.1
2022-06-21,290.3
2022-06-22,297.6
2022-06-23,289.45
2022-06-24,281.7
2022-06-27,280.9
2022-06-28,275.5
2022-06-29,289.7
2022-06-30,290.95
2022-07-01,276.55
2022-07-04,276.55
2022-07-05,271.8
2022-07-06,269.35
2022-07-07,268.4
2022-07-08,270.2
2022-07-11,263.2
2022-07-12,252.65
2022-07-13,254.3
2022-07-14,238.75
2022-07-15,244.7
2022-07-18,262.95
2022-07-19,262.4
2022-07-20,263.5
2022-07-21,262.45
2022-07-22,250.35000000000002
2022-07-25,254.05
2022-07-26,258.2
2022-07-27,264.3
2022-07-28,262
2022-07-29,261.85
2022-08-01,259.55
2022-08-02,253
2022-08-03,258.5
2022-08-04,263.25
2022-08-05,252
2022-08-08,254.4
2022-08-09,255.9
2022-08-10,261.35
2022-08-11,264.25
2022-08-12,267.85
2022-08-15,266.4
2022-08-16,261.4
2022-08-17,259.85
2022-08-18,257.05
2022-08-19,258.7
2022-08-22,267.15000000000003
2022-08-23,274.15000000000003
2022-08-24,286
2022-08-25,286.6
2022-08-26,284.75
2022-08-29,282.75
2022-08-30,280.95
2022-08-31,280.9
2022-09-01,275.65000000000003
2022-09-02,272.1
2022-09-05,272.1
2022-09-06,272.75
2022-09-08,263
2022-09-09,270.95
2022-09-12,266
2022-09-13,262.95
2022-09-14,256.25
2022-09-15,256.8
2022-09-16,255.75
2022-09-19,262.3
2022-09-20,265.2
2022-09-21,261.9
2022-09-22,263.8
2022-09-23,260.45
2022-09-26,263.2
2022-09-27,263.5
2022-09-28,268.05
2022-09-29,264.1
2022-09-30,262
2022-10-03,254.35000000000002
2022-10-04,258.9
2022-10-05,262.75
2022-10-06,255.4
2022-10-07,255.35000000000002
2022-10-10,254.75
2022-10-11,254.8
2022-10-13,239.9
2022-10-14,234.35000000000002
2022-10-17,232.5
2022-10-18,233.7
2022-10-19,230
2022-10-20,228.35000000000002
2022-10-21,227
2022-10-24,225
2022-10-25,220.95000000000002
2022-10-26,214.85000000000002
2022-10-27,213.65
2022-10-28,203.55
2022-10-31,208.8
2022-11-01,205
2022-11-03,203.65
2022-11-04,208.5
2022-11-07,202.55
2022-11-08,199.35000000000002
2022-11-09,197.65
2022-11-10,203.55
2022-11-11,205.05
2022-11-14,203.5
2022-11-16,196.1
2022-11-17,192.3
2022-11-18,190.25
2022-11-21,195
2022-11-22,198
2022-11-23,195.75
2022-11-24,195.75
2022-11-25,200.3
2022-11-28,196.45000000000002
2022-11-29,204.45000000000002
2022-11-30,211.75
2022-12-01,209.5
2022-12-02,205.75
2022-12-05,205.75
2022-12-06,206.9
2022-12-07,202.55
2022-12-08,202.3
2022-12-09,202.3
2022-12-12,212.1
2022-12-13,213.9
2022-12-14,214.25
2022-12-15,217.9
2022-12-16,212.25
2022-12-19,212.1
2022-12-20,215
2022-12-21,216
2022-12-22,214.5
2022-12-23,218.75
2022-12-26,218.75
2022-12-27,216
2022-12-28,221.45000000000002
2022-12-29,217
2023-01-02,213.35000000000002
2023-01-03,215
2023-01-04,208.4
2023-01-05,208
2023-01-06,207.5
2023-01-09,207.3
2023-01-10,201.15
2023-01-11,193
2023-01-12,198.05
2023-01-13,201.1
2023-01-16,201.1
2023-01-17,200.3
2023-01-18,204
2023-01-19,204
2023-01-20,205
2023-01-23,209.95000000000002
2023-01-24,210.35000000000002
2023-01-25,215.95000000000002
2023-01-26,222.15
2023-01-27,229
2023-01-30,229.65
2023-01-31,241.5
2023-02-01,234.35000000000002
2023-02-02,236.5
2023-02-03,230
2023-02-06,234
2023-02-07,237.25
2023-02-08,236
2023-02-09,233.4
2023-02-10,232.5
2023-02-13,232.5
2023-02-14,236.45000000000002
2023-02-15,227.6
2023-02-16,232.7
2023-02-17,233.65
2023-02-22,241.15
2023-02-23,236.95000000000002
2023-02-24,233.7
2023-02-27,233.05
2023-02-28,232.65
2023-03-01,229.5
2023-03-02,229
2023-03-03,225
2023-03-06,230.5
2023-03-07,233.5
2023-03-08,226.6
